Text,date,link,year
"Juan Pablo, un Salvadorien de 22 ans, a laissé derrière lui onze frères et soeurs",2008-08-22,https://www.lemonde.fr/ameriques/article/2008/08/22/les-mafias-mexicaines-contre-les-migrants_1086705_3222.html,2008
"Samedi, deux soeurs ont été retrouvées décapitées à Durango, dans le nord",2008-08-31,https://www.lemonde.fr/ameriques/article/2008/08/31/le-mexique-descend-dans-la-rue-pour-manifester-contre-la-violence_1089827_3222.html,2008
" Un père fermier, une mère au foyer, neuf frères et soeurs, James Meredith affirme avoir su très tôt qu'il aurait le destin ""d'un élu, d'un être à part""",2009-01-02,https://www.lemonde.fr/ameriques/article/2009/01/02/james-meredith-legende-enigmatique_1137167_3222.html,2009
Un attentat contre la maison Meredith blessera une de ses petites soeurs,2009-01-02,https://www.lemonde.fr/ameriques/article/2009/01/02/james-meredith-legende-enigmatique_1137167_3222.html,2009
 Vous avez des frères et soeurs,2009-01-10,https://www.lemonde.fr/ameriques/article/2009/01/10/en-1996-les-confidences-de-michelle-et-barack-obama_1140178_3222.html,2009
": J'ai une soeur du côté de ma mère, elle est à moitié indonésienne comme le second mari de ma mère, et j'ai aussi des frères et soeurs du côté kényan",2009-01-10,https://www.lemonde.fr/ameriques/article/2009/01/10/en-1996-les-confidences-de-michelle-et-barack-obama_1140178_3222.html,2009
" Joseph Cadeau, 65 ans, dont 31 en France, a téléphoné en Floride où vit une de ses soeurs",2010-01-16,https://www.lemonde.fr/ameriques/article/2010/01/16/une-communaute-jeune-et-majoritairement-feminine_1292543_3222.html,2010
"Jean-Pierre Mahieu, commerçant à Calais, et dans laquelle avaient pris place sa femme et ses deux soeurs, Josiane, vingt et un ans et Thérèse, quinze ans, quitta la route pour une cause inconnue, puis, ayant franchi un petit talus, tomba dans une ancienne carrière remplie d'eau",1957-08-14,https://www.lemonde.fr/archives/article/1957/08/14/les-accidents-de-la-circulation_2326649_1819218.html,1957
"Tout nuage ayant disparut du ciel des relations entre les deux soeurs latines, MM",1959-03-19,https://www.lemonde.fr/archives/article/1959/03/19/la-question-du-degagement-domine-la-visite-de-m-macmillan-en-amerique-et-les-entretiens-des-ministres-italiens-a-londres-et-a-paris_2150332_1819218.html,1959
"Souleau, substitut du procureur de la République, a fait connaître mercredi ses conclusions dans le procès que les soeurs Bowers, nièces de la femme de Pierre Bonnard, ont intenté pour demander à la première chambre du tribunal de la Seine de condamner les consorts Terrasse, héritiers personnels du peintre, aux sanctions prévues pour le recel civil",1960-01-08,https://www.lemonde.fr/archives/article/1960/01/08/le-substitut-demande-aux-juges-de-debouter-les-s-urs-bowers_2098673_1819218.html,1960
